Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.8,63.0,1013.08,179.17
24.8,63.0,1013.03,179.17
24.8,63.0,1013.08,179.17
24.8,63.0,1013.06,179.17
24.8,63.0,1013.05,179.17
24.8,63.0,1013.04,177.5
24.8,62.0,1013.07,179.17
24.8,62.0,1013.04,179.17
24.8,62.0,1013.02,179.17
24.9,62.0,1013.03,179.17
25.0,62.0,1013.02,179.17
25.3,62.0,1013.05,179.17
25.3,62.0,1013.03,179.17
25.3,62.0,1013.06,178.33
25.3,62.0,1013.05,179.17
25.3,62.0,1013.02,177.5
25.3,62.0,1013.06,177.5
25.3,62.0,1013.09,177.5
25.3,62.0,1013.1,176.67
25.3,62.0,1013.08,177.5
