Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.8,60.0,1013.14,26.67
25.8,60.0,1013.16,27.5
25.8,60.0,1013.15,26.67
25.8,60.0,1013.15,27.5
25.8,60.0,1013.17,26.67
25.8,60.0,1013.13,26.67
25.8,60.0,1013.14,27.5
25.8,60.0,1013.13,26.67
25.8,60.0,1013.15,26.67
25.8,60.0,1013.15,26.67
25.8,60.0,1013.11,26.67
25.8,60.0,1013.21,26.67
25.8,60.0,1013.11,26.67
25.8,60.0,1013.08,26.67
25.8,60.0,1013.2,26.67
25.8,60.0,1013.14,26.67
25.8,60.0,1013.17,27.5
25.8,60.0,1013.11,27.5
25.8,60.0,1013.11,26.67
25.8,60.0,1013.14,26.67
