Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.8,64.0,1010.39,125.0
24.8,64.0,1010.36,128.33
24.8,64.0,1010.35,129.17
24.8,64.0,1010.35,114.17
24.8,64.0,1010.33,125.0
24.8,64.0,1010.41,123.33
24.8,64.0,1010.36,124.17
24.8,64.0,1010.38,141.67
24.8,64.0,1010.39,130.83
24.8,64.0,1010.38,145.83
24.8,64.0,1010.4,149.17
24.8,64.0,1010.39,138.33
24.8,64.0,1010.4,135.83
24.8,64.0,1010.35,150.0
24.8,64.0,1010.45,148.33
24.8,63.0,1010.46,151.67
24.8,63.0,1010.41,153.33
24.8,63.0,1010.35,150.83
24.8,63.0,1010.35,131.67
24.8,63.0,1010.38,129.17
