Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.5,62.0,1010.24,41.67
24.5,62.0,1010.21,41.67
24.5,62.0,1010.19,41.67
24.5,62.0,1010.22,41.67
24.5,62.0,1010.24,41.67
24.5,62.0,1010.24,42.5
24.5,62.0,1010.22,43.33
24.5,62.0,1010.21,43.33
24.5,62.0,1010.25,43.33
24.5,62.0,1010.22,43.33
24.5,62.0,1010.21,43.33
24.5,62.0,1010.21,22.5
24.5,62.0,1010.17,43.33
24.5,62.0,1010.16,43.33
24.5,62.0,1010.19,43.33
24.5,62.0,1010.19,43.33
24.5,62.0,1010.2,43.33
24.5,62.0,1010.22,42.5
24.5,62.0,1010.23,41.67
24.5,62.0,1010.22,41.67
