Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.8,62.0,1010.13,53.33
25.8,61.0,1010.01,52.5
25.8,61.0,1010.09,50.83
25.8,61.0,1010.06,50.83
25.8,61.0,1010.06,53.33
25.8,62.0,1010.08,53.33
25.8,62.0,1010.14,54.17
25.8,62.0,1010.07,53.33
25.8,62.0,1010.08,55.0
25.8,62.0,1010.0,55.83
25.8,62.0,1009.99,54.17
25.8,62.0,1010.07,51.67
25.8,62.0,1010.06,54.17
25.8,62.0,1010.05,54.17
25.8,62.0,1010.05,55.83
25.8,62.0,1010.02,56.67
25.8,62.0,1010.03,55.0
25.8,62.0,1010.0,53.33
25.8,62.0,1010.03,52.5
25.8,62.0,1010.06,50.0
