Timestamp,Temperatura,Humedad,Presion,Luz
2025-06-08 01:48:38,27.5,55.0,1010.26,15.83
2025-06-08 01:48:40,27.1,54.0,1010.27,16.67
2025-06-08 01:48:42,27.1,54.0,1010.26,18.33
2025-06-08 01:48:45,27.1,54.0,1010.28,19.17
2025-06-08 01:48:47,27.1,54.0,1010.26,19.17
2025-06-08 01:48:49,27.1,54.0,1010.24,19.17
2025-06-08 01:48:51,27.1,54.0,1010.25,19.17
2025-06-08 01:48:53,27.1,55.0,1010.27,19.17
2025-06-08 01:48:55,27.1,55.0,1010.21,19.17
2025-06-08 01:48:57,27.1,55.0,1010.25,17.5
2025-06-08 01:48:59,27.1,55.0,1010.23,17.5
2025-06-08 01:49:01,27.1,55.0,1010.24,18.33
2025-06-08 01:49:03,26.7,55.0,1010.24,16.67
2025-06-08 01:49:05,26.7,55.0,1010.25,17.5
2025-06-08 01:49:07,26.7,55.0,1010.28,17.5
2025-06-08 01:49:09,26.7,55.0,1010.29,17.5
2025-06-08 01:49:11,26.7,55.0,1010.3,17.5
2025-06-08 01:49:13,26.7,55.0,1010.32,350.83
2025-06-08 01:49:15,26.7,55.0,1010.2,17.5
2025-06-08 01:49:17,26.7,55.0,1010.3,18.33
