Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.3,63.0,1010.39,2015.0
25.3,63.0,1010.37,944.17
25.3,63.0,1010.37,2238.33
25.3,63.0,1010.38,91.67
25.3,63.0,1010.33,1505.83
25.3,63.0,1010.39,1473.33
25.3,63.0,1010.36,1435.83
25.3,63.0,1010.34,1485.83
25.3,63.0,1010.38,1540.83
25.3,63.0,1010.39,554.17
25.3,63.0,1010.41,106.67
25.3,63.0,1010.36,100.0
25.3,63.0,1010.46,115.83
25.3,63.0,1010.39,120.83
25.3,63.0,1010.37,124.17
25.3,63.0,1010.42,121.67
25.3,63.0,1010.43,115.0
25.3,63.0,1010.46,111.67
25.3,63.0,1010.41,114.17
25.3,63.0,1010.34,113.33
