Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
26.7,59.0,1011.66,4.17
26.7,59.0,1011.65,4.17
26.7,59.0,1011.67,4.17
26.7,59.0,1011.68,4.17
26.7,59.0,1011.66,4.17
26.7,59.0,1011.69,4.17
26.7,59.0,1011.64,4.17
26.7,59.0,1011.64,4.17
26.7,59.0,1011.7,4.17
26.7,59.0,1011.72,4.17
26.7,59.0,1011.72,4.17
26.7,59.0,1011.68,5.0
26.7,59.0,1011.66,4.17
26.7,59.0,1011.6,4.17
26.7,59.0,1011.66,4.17
26.7,59.0,1011.64,4.17
26.7,59.0,1011.67,4.17
26.7,59.0,1011.64,4.17
26.7,59.0,1011.69,4.17
26.7,59.0,1011.64,4.17
