Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.5,62.0,1010.24,45.0
24.5,62.0,1010.22,40.0
24.5,62.0,1010.24,40.83
24.5,62.0,1010.23,40.83
24.5,62.0,1010.24,40.83
24.5,62.0,1010.23,40.83
24.5,62.0,1010.23,40.83
24.5,62.0,1010.28,40.83
24.5,62.0,1010.19,40.83
24.5,62.0,1010.18,40.83
24.5,62.0,1010.2,40.83
24.5,62.0,1010.26,40.83
24.5,62.0,1010.17,40.83
24.5,62.0,1010.27,36.67
24.5,62.0,1010.21,35.83
24.5,62.0,1010.23,40.83
24.5,62.0,1010.22,41.67
24.5,62.0,1010.26,41.67
24.5,62.0,1010.21,41.67
24.5,62.0,1010.25,41.67
