Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.8,62.0,1011.81,5.83
25.8,62.0,1011.79,5.83
25.8,62.0,1011.81,5.83
25.8,62.0,1011.77,4.17
25.8,62.0,1011.79,2.5
26.0,62.0,1011.67,5.0
26.2,62.0,1011.78,5.0
26.2,62.0,1011.74,5.0
26.2,62.0,1011.7,4.17
26.2,62.0,1011.75,4.17
26.2,62.0,1011.75,5.0
26.2,61.0,1011.74,5.0
26.2,61.0,1011.73,4.17
26.2,61.0,1011.78,4.17
26.2,61.0,1011.76,5.0
26.2,61.0,1011.77,5.83
26.2,61.0,1011.73,7.5
26.2,62.0,1011.7,8.33
26.2,62.0,1011.76,8.33
26.2,62.0,1011.71,6.67
