Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.8,60.0,1013.11,12.5
25.8,60.0,1013.12,12.5
25.8,60.0,1013.15,12.5
25.8,60.0,1013.17,12.5
25.8,60.0,1013.11,12.5
25.8,60.0,1013.12,12.5
25.8,60.0,1013.15,12.5
25.8,60.0,1013.16,12.5
25.8,60.0,1013.15,12.5
25.8,60.0,1013.07,12.5
25.8,60.0,1013.13,12.5
25.8,60.0,1013.14,12.5
25.8,60.0,1013.12,12.5
25.8,60.0,1013.18,12.5
25.8,60.0,1013.15,12.5
25.8,60.0,1013.11,12.5
25.8,60.0,1013.08,12.5
25.8,60.0,1013.12,12.5
25.8,60.0,1013.15,12.5
25.8,60.0,1013.13,12.5
