Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
30.8,50.0,1008.28,29.17
30.8,50.0,1008.26,30.0
30.8,49.0,1008.29,30.0
30.8,49.0,1008.29,30.0
30.8,49.0,1008.26,30.0
30.8,49.0,1008.26,30.0
30.8,49.0,1008.21,30.0
30.8,49.0,1008.2,30.0
30.8,49.0,1008.23,30.0
30.8,49.0,1008.2,30.0
30.8,49.0,1008.25,30.0
30.8,49.0,1008.16,30.0
30.8,49.0,1008.18,30.0
30.8,49.0,1008.24,30.0
30.8,49.0,1008.22,30.0
30.8,49.0,1008.18,30.0
30.8,49.0,1008.19,28.33
30.8,49.0,1008.22,28.33
30.8,49.0,1008.23,28.33
30.8,49.0,1008.22,28.33
