Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.8,62.0,1010.26,46.67
25.8,62.0,1010.18,49.17
25.8,62.0,1010.21,46.67
25.8,62.0,1010.22,47.5
25.8,62.0,1010.22,47.5
25.8,62.0,1010.2,50.0
25.8,62.0,1010.27,50.0
25.8,62.0,1010.2,48.33
25.8,62.0,1010.21,50.0
25.8,62.0,1010.21,50.0
25.8,62.0,1010.18,49.17
25.8,62.0,1010.2,49.17
25.8,62.0,1010.2,48.33
25.8,62.0,1010.25,53.33
25.8,62.0,1010.27,50.83
25.8,62.0,1010.28,46.67
25.8,62.0,1010.27,48.33
25.8,62.0,1010.25,50.0
25.8,62.0,1010.23,50.0
25.8,62.0,1010.25,50.83
