Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.3,63.0,1010.4,114.17
25.3,63.0,1010.34,115.0
25.3,63.0,1010.31,113.33
25.3,63.0,1010.37,98.33
25.3,63.0,1010.38,77.5
25.3,63.0,1010.36,80.83
25.3,62.0,1010.35,80.83
25.3,62.0,1010.33,78.33
25.3,62.0,1010.38,108.33
25.3,62.0,1010.33,110.0
25.3,62.0,1010.39,108.33
25.3,62.0,1010.37,106.67
25.3,62.0,1010.37,105.0
25.3,62.0,1010.39,106.67
25.3,62.0,1010.33,92.5
25.3,62.0,1010.37,106.67
25.3,62.0,1010.39,115.0
25.3,62.0,1010.39,122.5
25.3,62.0,1010.39,130.0
25.3,62.0,1010.34,130.83
