Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.5,64.0,1012.91,173.33
25.8,64.0,1012.84,173.33
25.8,64.0,1012.85,175.0
25.8,64.0,1012.9,174.17
25.8,64.0,1012.9,175.0
25.8,63.0,1012.88,174.17
25.8,63.0,1012.91,175.0
25.8,63.0,1012.87,174.17
25.8,63.0,1012.9,174.17
25.8,63.0,1012.85,174.17
25.8,63.0,1012.86,174.17
25.8,63.0,1012.83,174.17
25.8,63.0,1012.92,174.17
25.8,63.0,1012.92,174.17
25.8,63.0,1012.85,174.17
25.8,62.0,1012.9,174.17
25.8,62.0,1012.89,175.0
25.8,62.0,1012.89,175.83
25.8,62.0,1012.88,174.17
25.8,62.0,1012.91,175.0
