Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.8,63.0,1010.35,154.17
24.8,63.0,1010.38,148.33
24.8,63.0,1010.36,146.67
24.8,63.0,1010.35,149.17
24.8,63.0,1010.4,148.33
24.8,63.0,1010.4,151.67
24.8,63.0,1010.42,127.5
24.8,63.0,1010.36,117.5
24.8,63.0,1010.39,112.5
24.8,63.0,1010.4,107.5
24.8,63.0,1010.32,107.5
24.8,63.0,1010.37,115.0
24.8,63.0,1010.37,140.83
24.9,63.0,1010.43,137.5
24.9,63.0,1010.38,137.5
24.9,63.0,1010.4,136.67
25.0,63.0,1010.41,96.67
25.1,63.0,1010.34,157.5
25.2,63.0,1010.38,1492.5
25.3,63.0,1010.41,1700.0
