Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.8,61.0,1010.07,46.67
25.8,61.0,1010.0,48.33
25.8,61.0,1010.04,51.67
25.8,61.0,1010.05,49.17
25.8,61.0,1010.04,40.0
25.8,61.0,1010.06,25.83
25.9,61.0,1010.09,23.33
25.9,61.0,1010.03,21.67
26.0,61.0,1010.08,20.0
26.0,62.0,1010.04,18.33
26.2,62.0,1010.06,18.33
26.2,62.0,1010.04,23.33
26.2,62.0,1010.01,21.67
26.2,62.0,1009.96,25.0
26.2,62.0,1010.08,28.33
26.2,62.0,1010.02,26.67
26.2,62.0,1010.08,25.0
26.2,62.0,1010.02,23.33
26.2,62.0,1010.11,23.33
26.2,62.0,1010.05,23.33
