Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
25.3,62.0,1009.97,2226.67
25.3,62.0,1009.93,2162.5
25.3,62.0,1009.99,2184.17
25.2,62.0,1009.95,2156.67
25.2,62.0,1010.03,2169.17
25.1,62.0,1009.89,1990.0
25.1,62.0,1009.9,2021.67
25.1,62.0,1009.88,2058.33
25.1,62.0,1009.94,2048.33
25.1,62.0,1009.99,2131.67
25.2,61.0,1009.88,2898.33
25.2,61.0,1009.87,2654.17
25.3,61.0,1009.9,2400.0
25.3,61.0,1009.89,3279.17
25.3,61.0,1009.87,2770.83
25.3,61.0,1009.91,2986.67
25.3,61.0,1009.86,3441.67
25.3,61.0,1009.95,2804.17
25.3,61.0,1009.94,2527.5
25.3,61.0,1009.95,2999.17
