Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
26.3,58.0,1011.72,5.0
26.2,58.0,1011.71,350.0
26.2,59.0,1011.68,5.0
26.2,59.0,1011.72,910.83
26.2,59.0,1011.69,943.33
26.2,59.0,1011.73,5.83
26.2,59.0,1011.69,848.33
26.2,59.0,1011.66,3.33
26.2,59.0,1011.69,3.33
26.2,59.0,1011.69,3.33
26.2,59.0,1011.63,4.17
26.3,59.0,1011.66,3.33
26.3,59.0,1011.68,4.17
26.3,59.0,1011.7,3.33
26.5,60.0,1011.63,5.0
26.6,60.0,1011.65,4.17
26.7,60.0,1011.69,4.17
26.7,60.0,1011.7,4.17
26.7,59.0,1011.66,4.17
26.7,59.0,1011.7,4.17
