Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.5,63.0,1013.06,178.33
24.5,63.0,1013.01,178.33
24.5,63.0,1013.01,178.33
24.8,63.0,1013.02,178.33
24.8,63.0,1013.09,178.33
24.8,63.0,1013.04,179.17
24.8,63.0,1013.03,178.33
24.8,63.0,1013.02,179.17
24.8,63.0,1013.11,178.33
24.8,63.0,1013.01,178.33
24.8,63.0,1013.08,179.17
24.8,63.0,1013.03,178.33
24.8,63.0,1013.08,179.17
24.8,63.0,1013.04,179.17
24.8,63.0,1013.09,178.33
24.8,63.0,1013.07,178.33
24.8,63.0,1013.06,179.17
24.8,63.0,1013.04,178.33
24.8,63.0,1013.07,179.17
24.8,63.0,1013.05,179.17
