Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
23.8,64.0,1010.18,70.0
23.9,64.0,1010.13,70.0
23.9,64.0,1010.14,69.17
24.1,64.0,1010.15,69.17
24.1,64.0,1010.08,70.0
24.1,64.0,1010.12,70.0
24.1,64.0,1010.14,70.0
24.1,64.0,1010.15,70.0
24.1,64.0,1010.14,70.0
24.1,64.0,1010.16,70.0
24.1,64.0,1010.11,70.0
24.1,64.0,1010.13,69.17
24.1,64.0,1010.15,71.67
24.1,64.0,1010.18,71.67
24.1,64.0,1010.14,72.5
24.1,64.0,1010.14,71.67
24.1,64.0,1010.14,70.83
24.1,64.0,1010.17,71.67
24.1,64.0,1010.17,71.67
24.1,64.0,1010.1,70.83
