Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.1,64.0,1010.18,70.83
24.1,63.0,1010.15,70.83
24.1,63.0,1010.14,70.83
24.1,63.0,1010.15,71.67
24.1,63.0,1010.21,71.67
24.1,63.0,1010.17,71.67
24.1,63.0,1010.18,69.17
24.1,63.0,1010.17,68.33
24.1,63.0,1010.13,68.33
24.1,63.0,1010.16,70.83
24.1,63.0,1010.16,70.83
24.1,63.0,1010.16,69.17
24.1,63.0,1010.19,69.17
24.1,63.0,1010.1,215.83
24.1,63.0,1010.14,3680.0
24.1,63.0,1010.15,4241.67
24.1,63.0,1010.17,62.5
24.1,63.0,1010.16,63.33
24.1,63.0,1010.19,62.5
24.1,63.0,1010.19,62.5
