Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.1,63.0,1010.18,7556.67
24.1,63.0,1010.14,62.5
24.1,63.0,1010.18,8047.5
24.1,63.0,1010.12,9105.0
24.1,63.0,1010.18,9365.0
24.1,63.0,1010.14,9382.5
24.1,63.0,1010.07,9011.67
24.1,63.0,1010.14,8808.33
24.1,63.0,1010.14,8877.5
24.1,63.0,1010.19,8685.0
24.1,63.0,1010.18,8669.17
24.1,63.0,1010.17,8574.17
24.1,63.0,1010.13,8498.33
24.1,63.0,1010.17,8347.5
24.1,63.0,1010.08,8344.17
24.1,63.0,1010.11,8285.83
24.3,63.0,1010.17,3010.83
24.5,63.0,1010.14,3146.67
24.5,63.0,1010.15,2630.83
24.5,63.0,1010.18,2307.5
