Temperatura (°C),Humedad (%),Presión (hPa),Luz (lux)
24.4,62.0,1010.21,40.83
24.1,62.0,1010.23,40.83
24.1,62.0,1010.19,40.83
24.1,62.0,1010.23,40.83
24.1,62.0,1010.22,40.83
24.1,62.0,1010.29,38.33
24.2,62.0,1010.18,40.0
24.3,62.0,1010.19,40.0
24.4,62.0,1010.24,40.0
24.5,62.0,1010.2,40.0
24.5,62.0,1010.22,40.83
24.5,62.0,1010.24,40.83
24.5,62.0,1010.26,40.0
24.5,62.0,1010.15,40.0
24.5,62.0,1010.23,40.0
24.5,62.0,1010.2,40.0
24.5,62.0,1010.22,40.0
24.5,62.0,1010.23,43.33
24.5,62.0,1010.25,45.0
24.5,62.0,1010.25,45.0
